Age,Industry,Job Title,Annual Salary,Monetary Compensation,Currency,Country of Employment,State (USA),Overall Number of Years of Experience,Number of Years of Experience in Your Field,Highest Level of Education,Gender,Ethnicity
35-44,Health care,Associate IRB Chair,71000.0,0.0,USD,USA,Massachusetts,11 - 20 years,8 - 10 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Analyst,25500.0,0.0,GBP,England,Outside of the US,8 - 10 years,2 - 4 years,College degree,Male,White
45-54,Health care,Nurse Practitioner,100000.0,5000.0,USD,USA,Florida,21 - 30 years,11 - 20 years,Master's degree,Female,White
25-34,Education (Higher Education),Information Literacy Librarian,84000.0,0.0,USD,USA,California,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Health care,APRN,118000.0,0.0,USD,USA,Connecticut,2 - 4 years,2 - 4 years,Master's degree,Female,Another option not listed here or prefer not to answer
25-34,Insurance,Commercial manager of parametric solutions,60000.0,4000.0,EUR,France,Outside of the US,5-7 years,2 - 4 years,PhD,Female,White
45-54,Media & Digital,Operations Manager,73000.0,0.0,USD,USA,Iowa,21 - 30 years,21 - 30 years,Master's degree,Female,White
55-64,Education (Higher Education),Operations Coordinator,45360.0,5000.0,USD,USA,Pennsylvania,31 - 40 years,5-7 years,Some college,Female,White
35-44,Media & Digital,Market Research Manager,58000.0,0.0,USD,USA,Nevada,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Law,Senior Paralegal,92500.0,5000.0,USD,USA,Virginia,21 - 30 years,11 - 20 years,College degree,Female,"Hispanic, Latino, or Spanish origin"
45-54,Insurance,Commercial Underwriter,70000.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,Some college,Female,White
35-44,Education (Primary/Secondary),Director of Finance and HR,90000.0,1500.0,USD,USA,Rhode Island,8 - 10 years,8 - 10 years,Master's degree,Female,White
35-44,Health care,Business Intelligence Developer,55703.0,0.0,GBP,England,Outside of the US,11 - 20 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Software Development Engineer,138500.0,53200.0,CAD,Canada,Outside of the US,8 - 10 years,8 - 10 years,College degree,Female,White
45-54,Nonprofits,Senior Analyst,74000.0,0.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Law,Attorney,73000.0,0.0,USD,USA,Virginia,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Media & Digital,Editor,119000.0,6000.0,USD,USA,Colorado,8 - 10 years,8 - 10 years,Master's degree,Female,"Asian or Asian American, White"
35-44,"Marketing, Advertising & PR",Communications Manager,75000.0,1500.0,USD,USA,Nebraska,11 - 20 years,8 - 10 years,College degree,Female,White
45-54,Religious institution,Office administrator,54080.0,250.0,USD,USA,Massachusetts,11 - 20 years,5-7 years,Master's degree,Female,White
35-44,Business or Consulting,Director of Lead Development,101050.0,8000.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Engineering or Manufacturing,Engineering Team Leader & Project Manager,86000.0,14000.0,CAD,Canada,Outside of the US,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Government and Public Administration,Data Statistician,110603.0,100.0,USD,USA,Maryland,8 - 10 years,5-7 years,PhD,Female,White
25-34,Education (Primary/Secondary),Food Service Coordinator,34444.0,0.0,USD,USA,Montana,21 - 30 years,11 - 20 years,College degree,Female,White
35-44,Utilities & Telecommunications,Ecommerce Specialist,60000.0,14000.0,USD,USA,Tennessee,11 - 20 years,5-7 years,College degree,Female,White
55-64,Education (Higher Education),Assessment Coordinator,110000.0,0.0,USD,USA,New York,21 - 30 years,21 - 30 years,PhD,Male,White
55-64,Law,Law Clerk,93000.0,1500.0,CAD,Canada,Outside of the US,21 - 30 years,11 - 20 years,College degree,Female,White
25-34,Education (Higher Education),Research Grants Administrator,21800.0,100.0,GBP,England,Outside of the US,5-7 years,1 year or less,College degree,Female,White
25-34,Law,Associate Attorney ,70000.0,2000.0,USD,USA,Pennsylvania,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,Biotech,Research Associate,55000.0,5000.0,USD,USA,Minnesota,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Recruitment or HR,HR Business Partner,115000.0,11500.0,USD,USA,Massachusetts,8 - 10 years,5-7 years,Master's degree,Male,White
25-34,Government and Public Administration,Municipal Accounting Clerk ,48000.0,0.0,CAD,Canada,Outside of the US,5-7 years,8 - 10 years,College degree,Female,White
25-34,Law,Legal Assistant ,44000.0,3000.0,USD,USA,Texas,8 - 10 years,5-7 years,College degree,Female,"Hispanic, Latino, or Spanish origin"
25-34,"Accounting, Banking & Finance",Compliance analyst,85000.0,12000.0,USD,USA,New Jersey,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Female,White
25-34,Health care,Assistant Director ,65000.0,0.0,USD,USA,Massachusetts,2 - 4 years,2 - 4 years,Master's degree,Female,White
25-34,Education (Primary/Secondary),Elementary Art Teacher,79023.0,0.0,USD,USA,Massachusetts,11 - 20 years,8 - 10 years,Master's degree,Female,White
25-34,"Marketing, Advertising & PR",Design Project Manager,91000.0,0.0,USD,USA,Oregon,8 - 10 years,5-7 years,College degree,Female,White
18-24,Computing or Tech,Hardware Verification Engineer,80800.0,2000.0,USD,USA,Minnesota,2 - 4 years,2 - 4 years,Master's degree,Female,White
35-44,Chemistry,Principal Chemist,107000.0,7000.0,USD,USA,Texas,8 - 10 years,8 - 10 years,PhD,Female,Another option not listed here or prefer not to answer
25-34,Education (Higher Education),Lab Manager,51000.0,0.0,USD,USA,Kentucky,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Architecture ,Marketing Coordinator,54000.0,2000.0,USD,USA,Massachusetts,8 - 10 years,8 - 10 years,College degree,Female,White
45-54,Sales,Client relations ,50000.0,2000.0,USD,USA,Georgia,11 - 20 years,5-7 years,Master's degree,Female,White
25-34,Health care,Registered Nurse - Cardiac Cath,70000.0,7000.0,USD,USA,Illinois,2 - 4 years,1 year or less,Master's degree,Female,White
35-44,"Accounting, Banking & Finance",Controller,77776.0,0.0,USD,USA,New Jersey,11 - 20 years,11 - 20 years,Master's degree,Female,White
45-54,Sales,Sales Representative,85000.0,1000.0,USD,USA,Kentucky,21 - 30 years,5-7 years,Master's degree,Female,White
25-34,Hospitality & Events,Sr. Conference Planner,59800.0,0.0,USD,USA,North Carolina,5-7 years,5-7 years,College degree,Female,White
25-34,Retail,sales associate,30900.0,0.0,CAD,Canada,Outside of the US,2 - 4 years,2 - 4 years,Some college,Other or prefer not to answer,White
25-34,Business or Consulting,Team Lead,75000.0,15000.0,USD,USA,Texas,8 - 10 years,5-7 years,College degree,Female,White
25-34,Nonprofits,VP of Visitation and Special Events,55000.0,5000.0,USD,USA,Texas,8 - 10 years,8 - 10 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin"
35-44,Law,Implemenation / Conflict Analyst,62800.0,0.0,USD,USA,Minnesota,11 - 20 years,8 - 10 years,College degree,Female,White
25-34,Hospitality & Events,Evens & Social Media Coorindator,49000.0,1000.0,USD,USA,Louisiana,8 - 10 years,2 - 4 years,College degree,Female,"Hispanic, Latino, or Spanish origin, White"
35-44,Education (Higher Education),Administrative Coordinator ,49000.0,0.0,USD,USA,Wisconsin,11 - 20 years,8 - 10 years,Master's degree,Female,White
35-44,"Accounting, Banking & Finance",Technical Trainer,75000.0,1200.0,USD,USA,Missouri,21 - 30 years,21 - 30 years,Master's degree,Female,White
45-54,"Accounting, Banking & Finance","VP, Bank Secrecy Act Officer",97000.0,4000.0,USD,USA,Connecticut,21 - 30 years,21 - 30 years,Some college,Female,White
35-44,Engineering or Manufacturing,Product Development Engineer,97000.0,4000.0,USD,USA,Oregon,11 - 20 years,5-7 years,College degree,Female,White
25-34,Health care,Office Manager,44345.0,0.0,USD,USA,Tennessee,5-7 years,5-7 years,College degree,Female,White
35-44,Property or Construction,Project Manager,96500.0,2500.0,USD,USA,Rhode Island,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Computing or Tech,Marketing Manager,84000.0,2000.0,USD,USA,California,8 - 10 years,5-7 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin, White"
35-44,Education (Higher Education),Assistant Director of Academic Advising,54000.0,6000.0,USD,USA,Nebraska,11 - 20 years,11 - 20 years,Master's degree,Female,White
45-54,Health care,Dietitian (RD),72800.0,0.0,USD,USA,New York,11 - 20 years,2 - 4 years,Master's degree,Female,White
45-54,Engineering or Manufacturing,General Manager,80000.0,5000.0,USD,USA,Michigan,21 - 30 years,21 - 30 years,College degree,Female,White
35-44,Government and Public Administration,Deputy City Clerk / Treasurer,33508.0,0.0,USD,USA,Montana,21 - 30 years,2 - 4 years,High School,Female,White
45-54,Business or Consulting,Project Manager,99000.0,3000.0,USD,USA,Florida,21 - 30 years,8 - 10 years,Some college,Female,White
35-44,Education (Higher Education),Learning designer (project lead),70000.0,8000.0,USD,USA,Michigan,8 - 10 years,2 - 4 years,PhD,Female,White
35-44,Insurance,Marketing Analyst,92781.0,12000.0,USD,USA,Illinois,11 - 20 years,5-7 years,College degree,Female,White
25-34,Engineering or Manufacturing,Sr. Controls Engineer ,108000.0,0.0,USD,USA,Pennsylvania,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Education (Higher Education),Web Editor,61825.0,0.0,EUR,Argentina,Outside of the US,11 - 20 years,11 - 20 years,Master's degree,Female,White
45-54,Public Libraries,Librarian,39000.0,0.0,USD,USA,Virginia,31 - 40 years,11 - 20 years,Master's degree,Female,White
35-44,Education (Higher Education),Associate Director of Housing Operations,85000.0,0.0,EUR,USA,Utah,11 - 20 years,11 - 20 years,Master's degree,Female,White
45-54,Nonprofits,Director of HR,76000.0,0.0,USD,USA,Ohio,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,"Construction, mining, manufacturing",HR Manager,80000.0,12500.0,CAD,Canada,Outside of the US,21 - 30 years,11 - 20 years,College degree,Female,White
25-34,"Marketing, Advertising & PR",Creative Project Manager ,66000.0,0.0,USD,USA,Washington,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Education (Higher Education),Assistant Laboratory Supervisor,37000.0,0.0,USD,USA,Wisconsin,5-7 years,5-7 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Financial Analyst,80000.0,2000.0,USD,USA,Alaska,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Computing or Tech,Software Developer Team Lead,85000.0,8500.0,USD,USA,Wisconsin,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Government Relations,Lobbyist,112500.0,0.0,USD,USA,District of Columbia,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Nonprofits,Director of Investor Relations,71000.0,0.0,USD,USA,Alabama,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Property or Construction,Marketing Coordinator,52000.0,1000.0,USD,USA,Oregon,21 - 30 years,8 - 10 years,College degree,Female,White
35-44,Government and Public Administration,Program Analyst,97395.0,0.0,USD,USA,Illinois,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Media & Digital,Sales and Marketing Associate,45000.0,1000.0,USD,USA,Washington,8 - 10 years,5-7 years,College degree,Female,White
35-44,Computing or Tech,Vice President of Operations,63000.0,500.0,USD,USA,Delaware,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,Automotive,Managing Director (Advanced Technology),229500.0,50000.0,USD,USA,California,21 - 30 years,11 - 20 years,PhD,Female,White
25-34,Education (Primary/Secondary),Curriculum Designer/Content Specialist,73500.0,0.0,USD,USA,Illinois,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Public libraries,Librarian,37500.0,0.0,USD,USA,Kentucky,5-7 years,8 - 10 years,Master's degree,Female,White
25-34,Engineering or Manufacturing,Autonomous Vehicles Engineer,102545.0,5000.0,USD,USA,Michigan,5-7 years,5-7 years,Master's degree,Female,White
25-34,Insurance,Business Analytics Specialist,116000.0,11000.0,USD,USA,Massachusetts,5-7 years,5-7 years,College degree,Male,White
25-34,"Marketing, Advertising & PR",social media manager,75000.0,0.0,USD,USA,North Carolina,5-7 years,5-7 years,College degree,Female,"Black or African American, White"
25-34,Computing or Tech,Field Human Resources Generalist,113000.0,22000.0,USD,USA,California,5-7 years,2 - 4 years,College degree,Female,"Middle Eastern or Northern African, White"
45-54,Government and Public Administration,Attorney,144128.0,0.0,USD,USA,District of Columbia,21 - 30 years,5-7 years,"Professional degree (MD, JD, etc.)",Male,White
35-44,Hospitality & Events,Director of Marketing and Events,65000.0,5000.0,USD,USA,Virginia,11 - 20 years,11 - 20 years,College degree,Female,White
55-64,Insurance,Senior Claims Examiner,38000.0,1200.0,USD,USA,Texas,21 - 30 years,21 - 30 years,Some college,Female,White
45-54,Computing or Tech,Senior Program Manager,135000.0,0.0,USD,USA,Oregon,21 - 30 years,11 - 20 years,College degree,Female,White
45-54,Engineering or Manufacturing,Process Analyst,135000.0,5000.0,USD,USA,Virginia,21 - 30 years,11 - 20 years,Some college,Female,White
25-34,Insurance,Senior Analyst,123746.0,6000.0,USD,USA,Illinois,8 - 10 years,5-7 years,Master's degree,Male,White
35-44,Health care,Communications & Training Specialist,66000.0,2500.0,USD,USA,Texas,11 - 20 years,5-7 years,High School,Female,White
25-34,Nonprofits,Executive Director,47736.0,5000.0,USD,USA,New Hampshire,8 - 10 years,8 - 10 years,Master's degree,Female,White
35-44,Engineering or Manufacturing,Senior Project Engineer,120000.0,0.0,USD,USA,Kansas,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Sales,Solutions Consultant,99000.0,9000.0,USD,USA,Massachusetts,11 - 20 years,5-7 years,Master's degree,Female,White
25-34,Business or Consulting,Senior Buyer,70000.0,0.0,USD,USA,New Mexico,5-7 years,5-7 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Finance Director,165000.0,30000.0,USD,USA,Missouri,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Engineering or Manufacturing,Senior Engineer,108000.0,60000.0,USD,USA,Virginia,5-7 years,5-7 years,College degree,Female,White
25-34,clinical research,associate project leader,89000.0,0.0,USD,USA,North Carolina,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,Health care,Senior Project Coordinator,67000.0,0.0,USD,USA,Massachusetts,8 - 10 years,8 - 10 years,College degree,Female,White
18-24,STEM Research,Research Technician ,38000.0,240.0,EUR,Belgium,Outside of the US,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Computing or Tech,Frontend Engineer,115000.0,0.0,USD,USA,New York,5-7 years,5-7 years,College degree,Male,White
25-34,Computing or Tech,Web Developer,280000.0,0.0,USD,USA,Texas,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,"Accounting, Banking & Finance",Analysts ,165000.0,10000.0,USD,USA,New York,21 - 30 years,11 - 20 years,Master's degree,Female,White
35-44,"Accounting, Banking & Finance",Director,175000.0,25000.0,USD,USA,California,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,"Marketing, Advertising & PR",Marketing Coordinator,58000.0,8000.0,USD,USA,New Jersey,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Nonprofits,Executive Director,50000.0,0.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Insurance,Senior Actuarial Analyst,132500.0,21500.0,USD,USA,Pennsylvania,8 - 10 years,8 - 10 years,College degree,Female,White
25-34,Engineering or Manufacturing,Customer Service Specialist,45000.0,0.0,CAD,Canada,Outside of the US,5-7 years,2 - 4 years,College degree,Female,White
25-34,"Marketing, Advertising & PR",Crisis Communications Manager,62700.0,0.0,USD,USA,Maryland,8 - 10 years,5-7 years,Master's degree,Female,White
45-54,"Accounting, Banking & Finance",Data Analyst,121800.0,0.0,USD,USA,Texas,11 - 20 years,5-7 years,Master's degree,Female,White
65 or over,Health care,VP Information Technology,125000.0,35000.0,USD,USA,Texas,41 years or more,31 - 40 years,Some college,Female,White
45-54,Computing or Tech,Senior Manager,175000.0,5000.0,USD,USA,Pennsylvania,21 - 30 years,21 - 30 years,Master's degree,Female,White
45-54,Property or Construction,Senior Development Manager,85000.0,25000.0,GBP,England,Outside of the US,21 - 30 years,11 - 20 years,High School,Female,White
25-34,Computing or Tech,Senior SDE,165000.0,35000.0,USD,USA,Washington,8 - 10 years,8 - 10 years,College degree,Male,White
